,name1,name2,name3,name4,name5,name6,name7,name8,,,name1,name2,name3,name4,name5,name6,name7,name8
trials1,806,479,781,878,967,795,615,919,,trials1,267,1008,785,1290,1013,1012,133,952
trials2,733,664,1196,947,4000,1944,829,1786,,trials2,294,611,351,711,1013,1004,670,447
trials3,917,2326,1240,771,952,1078,826,755,,trials3,190,1176,408,913,1115,757,880,687
trials4,773,566,1033,876,771,691,804,745,,trials4,495,302,1337,807,1088,359,3637,261
trials5,538,758,737,968,720,832,486,586,,trials5,480,516,318,736,941,251,541,443
trials6,637,872,793,698,995,558,825,713,,trials6,349,603,1774,743,394,705,539,346
trials7,507,797,905,718,1039,584,747,901,,trials7,394,683,101,689,620,582,539,362
,mean,std,sterr,,,,,,,mean,std,,,,,,,
,917.4464286,531.3716015,#VALUE!,,,,,,,707.5357143,522.5801014,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,name1,name2,name3,name4,name5,name6,name7,name8,,name1,name2,name3,name4,name5,name6,name7,name8,
trials1,473,5570,3067,3997,2141,2739,2403,4566,,8039,1718,1216,522,3969,2183,3573,23931,
trials2,1244,3692,2530,3374,2319,1607,1824,5158,,1567,1351,1342,1310,3789,1843,2151,3105,
trials3,554,2082,2646,2636,1787,1807,3744,5200,,2400,1718,1724,1203,953,2158,2489,3389,
trials4,3142,3718,4056,3793,2707,1811,2265,5048,,2112,2311,1117,1442,1615,2561,2318,3578,
trials5,2285,6050,2682,3901,2246,1849,2380,2535,,1055,1410,1517,1139,2791,3098,2375,3815,
trials6,2500,1888,3269,1916,2944,2500,6988,5723,,1794,1113,1055,2069,1146,4017,2406,3459,
trials7,1760,3424,4220,2113,2547,2811,5038,3737,,2767,802,2272,1662,1863,2779,2216,3665,
AVG,1708.285714,3774.857143,3210,3104.285714,2384.428571,2160.571429,3520.285714,4566.714286,,2819.142857,1489,1463.285714,1335.285714,2303.714286,2662.714286,2504,6420.285714,
STD,1007.595275,1578.924046,685.4470561,874.9026068,383.6716726,503.9146281,1887.690539,1090.534382,,2368.415042,486.3462415,425.7047938,478.6382469,1228.14124,730.7787431,485.0051546,7724.763658,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,473,5570,3067,3997,2141,2739,2403,4566,,
,,,,,,,,,1244,3692,2530,3374,2319,1607,1824,5158,,
,,,,,,,,,554,2082,2646,2636,1787,1807,3744,5200,,
,,,,,,,,,3142,3718,4056,3793,2707,1811,2265,5048,,
,,,,,,,,,2285,6050,2682,3901,2246,1849,2380,2535,,
,,,,,,,,,2500,1888,3269,1916,2944,2500,6988,5723,,
,,,,,,,,,1760,3424,4220,2113,2547,2811,5038,3737,,
